Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
12/20/2020,Eastern,Probable,186,0,3
12/20/2020,Central,Confirmed,289,13,9
12/20/2020,Northwest,Probable,175,1,0
12/20/2020,Northwest,Confirmed,310,21,5
12/20/2020,Southwest,Probable,145,2,4
12/20/2020,Southwest,Confirmed,447,35,18
12/20/2020,Central,Probable,138,0,2
12/20/2020,Eastern,Confirmed,402,18,9
12/21/2020,Eastern,Confirmed,768,26,16
12/21/2020,Central,Probable,271,1,1
12/21/2020,Eastern,Probable,307,2,1
12/21/2020,Northwest,Confirmed,692,27,8
12/21/2020,Southwest,Probable,262,4,4
12/21/2020,Northwest,Probable,219,5,3
12/21/2020,Southwest,Confirmed,794,26,13
12/21/2020,Northern,Probable,233,2,0
12/21/2020,Northern,Confirmed,1056,29,7
12/21/2020,Central,Confirmed,540,14,9
12/22/2020,Central,Confirmed,382,12,4
12/22/2020,Central,Probable,193,0,0
12/22/2020,Southwest,Confirmed,677,32,12
12/22/2020,Northwest,Probable,254,1,1
12/22/2020,Southwest,Probable,216,1,6
12/22/2020,Northern,Probable,198,0,2
12/22/2020,Northwest,Confirmed,608,20,9
12/22/2020,Eastern,Confirmed,778,21,10
12/22/2020,Eastern,Probable,315,1,1
12/22/2020,Northern,Confirmed,914,21,8
12/23/2020,Northern,Confirmed,957,32,11
12/23/2020,Southwest,Confirmed,767,24,7
12/23/2020,Northwest,Probable,220,3,0
12/23/2020,Northwest,Confirmed,466,25,8
12/23/2020,Southwest,Probable,220,3,5
12/23/2020,Northern,Probable,207,1,2
12/23/2020,Central,Probable,198,3,1
12/23/2020,Eastern,Confirmed,583,18,9
12/23/2020,Eastern,Probable,289,0,3
12/23/2020,Central,Confirmed,357,17,5
12/24/2020,Central,Confirmed,368,17,4
12/24/2020,Northwest,Confirmed,403,16,8
12/24/2020,Southwest,Probable,173,0,12
12/24/2020,Northern,Probable,196,0,2
12/24/2020,Central,Probable,186,2,3
12/24/2020,Eastern,Confirmed,505,21,10
12/24/2020,Northwest,Probable,178,5,2
12/24/2020,Eastern,Probable,232,4,3
12/24/2020,Northern,Confirmed,834,22,10
12/24/2020,Southwest,Confirmed,499,20,10
12/25/2020,Northwest,Probable,94,4,4
12/25/2020,Central,Probable,138,1,0
12/25/2020,Eastern,Probable,149,0,0
12/25/2020,Southwest,Confirmed,259,19,4
12/25/2020,Northern,Probable,146,0,0
12/25/2020,Northern,Confirmed,570,25,6
12/25/2020,Central,Confirmed,181,6,7
12/25/2020,Northwest,Confirmed,218,10,7
12/25/2020,Southwest,Probable,95,2,6
12/25/2020,Eastern,Confirmed,330,24,12
12/26/2020,Central,Probable,208,0,5
12/26/2020,Northwest,Confirmed,471,16,10
12/26/2020,Southwest,Confirmed,578,26,6
12/26/2020,Northwest,Probable,237,2,4
12/26/2020,Southwest,Probable,229,4,4
12/26/2020,Eastern,Confirmed,560,22,7
12/26/2020,Northern,Probable,242,0,1
12/26/2020,Northern,Confirmed,830,18,6
12/26/2020,Central,Confirmed,395,16,7
12/26/2020,Eastern,Probable,311,0,2
12/27/2020,Eastern,Confirmed,603,25,19
12/27/2020,Southwest,Probable,229,1,4
12/27/2020,Northwest,Probable,206,1,5
12/27/2020,Northern,Confirmed,742,35,12
12/27/2020,Northwest,Confirmed,435,21,6
12/27/2020,Central,Confirmed,365,11,6
12/27/2020,Eastern,Probable,298,0,1
12/27/2020,Southwest,Confirmed,527,25,5
12/27/2020,Central,Probable,238,4,2
12/27/2020,Northern,Probable,200,3,4
12/28/2020,Northwest,Confirmed,775,19,10
12/28/2020,Southwest,Confirmed,1089,33,13
12/28/2020,Central,Confirmed,807,23,12
12/28/2020,Northern,Probable,307,1,0
12/28/2020,Eastern,Confirmed,1117,28,10
12/28/2020,Central,Probable,330,1,2
12/28/2020,Southwest,Probable,306,1,2
12/28/2020,Eastern,Probable,368,1,2
12/28/2020,Northern,Confirmed,1250,38,12
12/28/2020,Northwest,Probable,358,2,1
12/29/2020,Northwest,Probable,233,3,2
12/29/2020,Eastern,Confirmed,939,27,12
12/29/2020,Eastern,Probable,337,3,1
12/29/2020,Southwest,Confirmed,901,34,6
12/29/2020,Central,Probable,279,1,0
12/29/2020,Northern,Confirmed,1326,20,6
12/29/2020,Northern,Probable,364,0,3
12/29/2020,Central,Confirmed,770,16,12
12/29/2020,Northwest,Confirmed,809,16,8
12/29/2020,Southwest,Probable,270,6,8
12/30/2020,Southwest,Confirmed,901,26,9
12/30/2020,Northwest,Confirmed,651,20,4
12/30/2020,Northern,Confirmed,1063,26,15
12/30/2020,Central,Confirmed,645,15,10
12/30/2020,Central,Probable,300,0,3
12/30/2020,Northern,Probable,351,4,1
12/30/2020,Eastern,Confirmed,1049,26,6
12/30/2020,Northwest,Probable,287,5,3
12/30/2020,Eastern,Probable,364,0,1
12/30/2020,Southwest,Probable,340,4,8
12/31/2020,Eastern,Confirmed,920,23,11
12/31/2020,Central,Confirmed,541,21,8
12/31/2020,Northern,Confirmed,932,28,13
12/31/2020,Northwest,Confirmed,511,21,11
12/31/2020,Southwest,Probable,235,2,6
12/31/2020,Southwest,Confirmed,708,32,15
12/31/2020,Northern,Probable,316,0,3
12/31/2020,Northwest,Probable,291,3,5
12/31/2020,Eastern,Probable,364,0,2
12/31/2020,Central,Probable,302,1,1
01/01/2021,Northern,Probable,282,0,2
01/01/2021,Northern,Confirmed,717,25,10
01/01/2021,Central,Confirmed,373,31,8
01/01/2021,Southwest,Confirmed,521,29,9
01/01/2021,Northwest,Confirmed,377,15,5
01/01/2021,Eastern,Probable,290,1,3
01/01/2021,Eastern,Confirmed,580,26,13
01/01/2021,Northwest,Probable,203,2,5
01/01/2021,Southwest,Probable,250,5,7
01/01/2021,Central,Probable,222,1,1
01/02/2021,Eastern,Probable,317,0,2
01/02/2021,Northern,Probable,332,2,5
01/02/2021,Central,Confirmed,538,15,13
01/02/2021,Northern,Confirmed,833,29,16
01/02/2021,Central,Probable,292,2,2
01/02/2021,Northwest,Probable,306,5,2
01/02/2021,Southwest,Confirmed,594,31,19
01/02/2021,Northwest,Confirmed,519,27,11
01/02/2021,Southwest,Probable,219,2,4
01/02/2021,Eastern,Confirmed,818,34,12
01/03/2021,Northern,Confirmed,760,29,14
01/03/2021,Northwest,Confirmed,559,17,5
01/03/2021,Southwest,Confirmed,622,25,11
01/03/2021,Northwest,Probable,264,2,2
01/03/2021,Eastern,Confirmed,823,48,11
01/03/2021,Eastern,Probable,305,0,4
01/03/2021,Central,Probable,311,1,2
01/03/2021,Northern,Probable,326,3,0
01/03/2021,Southwest,Probable,195,4,7
01/03/2021,Central,Confirmed,476,14,10
01/04/2021,Northern,Probable,419,2,2
01/04/2021,Central,Probable,537,2,7
01/04/2021,Northwest,Probable,391,5,3
01/04/2021,Southwest,Confirmed,1035,25,9
01/04/2021,Eastern,Confirmed,1470,36,8
01/04/2021,Central,Confirmed,1056,26,13
01/04/2021,Northwest,Confirmed,856,13,6
01/04/2021,Southwest,Probable,339,5,9
01/04/2021,Northern,Confirmed,1507,36,6
01/04/2021,Eastern,Probable,437,0,2
01/05/2021,Northern,Confirmed,1415,30,8
01/05/2021,Central,Probable,331,3,3
01/05/2021,Eastern,Probable,416,0,0
01/05/2021,Northwest,Confirmed,675,22,9
01/05/2021,Eastern,Confirmed,1162,49,13
01/05/2021,Northern,Probable,394,1,2
01/05/2021,Southwest,Confirmed,965,22,10
01/05/2021,Northwest,Probable,367,4,5
01/05/2021,Central,Confirmed,815,28,12
01/05/2021,Southwest,Probable,287,9,5
01/06/2021,Central,Probable,335,1,6
01/06/2021,Northern,Probable,343,1,3
01/06/2021,Northern,Confirmed,1224,25,14
01/06/2021,Northwest,Confirmed,671,19,10
01/06/2021,Southwest,Confirmed,780,27,13
01/06/2021,Eastern,Probable,385,4,1
01/06/2021,Northwest,Probable,282,4,4
01/06/2021,Eastern,Confirmed,1163,29,14
01/06/2021,Central,Confirmed,748,20,19
01/06/2021,Southwest,Probable,257,6,6
01/07/2021,Southwest,Probable,272,2,7
01/07/2021,Eastern,Probable,362,3,0
01/07/2021,Northwest,Confirmed,593,23,12
01/07/2021,Southwest,Confirmed,799,20,17
01/07/2021,Northern,Confirmed,1109,29,4
01/07/2021,Central,Confirmed,633,22,13
01/07/2021,Eastern,Confirmed,1011,34,9
01/07/2021,Northern,Probable,318,2,6
01/07/2021,Central,Probable,333,1,3
01/07/2021,Northwest,Probable,246,6,4
01/08/2021,Northern,Confirmed,1102,25,16
01/08/2021,Eastern,Probable,379,1,2
01/08/2021,Central,Confirmed,611,25,15
01/08/2021,Southwest,Probable,204,4,5
01/08/2021,Northwest,Confirmed,580,18,20
01/08/2021,Northern,Probable,334,0,2
01/08/2021,Eastern,Confirmed,919,31,11
01/08/2021,Central,Probable,350,1,4
01/08/2021,Southwest,Confirmed,599,32,24
01/08/2021,Northwest,Probable,216,2,10
01/09/2021,Eastern,Probable,295,2,6
01/09/2021,Southwest,Confirmed,455,24,14
01/09/2021,Eastern,Confirmed,736,34,7
01/09/2021,Northern,Probable,257,1,3
01/09/2021,Central,Probable,189,1,5
01/09/2021,Central,Confirmed,421,29,13
01/09/2021,Northwest,Probable,186,1,3
01/09/2021,Southwest,Probable,149,6,7
01/09/2021,Northwest,Confirmed,434,26,11
01/09/2021,Northern,Confirmed,827,20,8
01/10/2021,Northwest,Probable,161,2,1
01/10/2021,Central,Probable,180,3,4
01/10/2021,Northwest,Confirmed,341,15,9
01/10/2021,Northern,Confirmed,633,27,12
01/10/2021,Southwest,Confirmed,461,30,11
01/10/2021,Northern,Probable,196,2,1
01/10/2021,Central,Confirmed,397,16,7
01/10/2021,Eastern,Probable,269,1,4
01/10/2021,Southwest,Probable,144,1,7
01/10/2021,Eastern,Confirmed,574,34,14
01/11/2021,Northwest,Confirmed,684,21,13
01/11/2021,Northwest,Probable,256,3,6
01/11/2021,Central,Probable,341,1,2
01/11/2021,Northern,Probable,332,1,4
01/11/2021,Southwest,Probable,295,1,4
01/11/2021,Eastern,Confirmed,1021,46,17
01/11/2021,Southwest,Confirmed,849,33,14
01/11/2021,Central,Confirmed,922,27,11
01/11/2021,Eastern,Probable,394,1,1
01/11/2021,Northern,Confirmed,1151,29,10
01/12/2021,Southwest,Confirmed,642,25,11
01/12/2021,Central,Confirmed,695,16,11
01/12/2021,Eastern,Confirmed,895,39,16
01/12/2021,Northern,Probable,250,0,4
01/12/2021,Central,Probable,318,3,5
01/12/2021,Southwest,Probable,189,3,7
01/12/2021,Eastern,Probable,312,4,1
01/12/2021,Northern,Confirmed,992,25,14
01/12/2021,Northwest,Probable,225,0,6
01/12/2021,Northwest,Confirmed,553,14,12
01/13/2021,Eastern,Probable,326,3,1
01/13/2021,Northern,Confirmed,960,34,5
01/13/2021,Northwest,Confirmed,529,15,11
01/13/2021,Eastern,Confirmed,937,36,16
01/13/2021,Southwest,Probable,240,6,4
01/13/2021,Central,Confirmed,649,22,13
01/13/2021,Northern,Probable,293,3,5
01/13/2021,Central,Probable,304,2,2
01/13/2021,Northwest,Probable,193,3,2
01/13/2021,Southwest,Confirmed,553,28,12
01/14/2021,Central,Probable,244,6,2
01/14/2021,Eastern,Probable,314,3,3
01/14/2021,Northern,Confirmed,844,25,15
01/14/2021,Northwest,Probable,176,3,6
01/14/2021,Southwest,Confirmed,611,20,9
01/14/2021,Northern,Probable,279,2,4
01/14/2021,Southwest,Probable,205,2,4
01/14/2021,Central,Confirmed,562,17,11
01/14/2021,Eastern,Confirmed,809,49,18
01/14/2021,Northwest,Confirmed,533,24,20
01/15/2021,Northwest,Probable,200,0,6
01/15/2021,Northern,Probable,259,1,6
01/15/2021,Central,Probable,267,1,9
01/15/2021,Southwest,Confirmed,610,18,15
01/15/2021,Eastern,Probable,306,1,6
01/15/2021,Eastern,Confirmed,848,43,16
01/15/2021,Central,Confirmed,599,18,15
01/15/2021,Southwest,Probable,206,1,6
01/15/2021,Northwest,Confirmed,451,16,8
01/15/2021,Northern,Confirmed,809,26,13
01/16/2021,Northwest,Confirmed,498,11,7
01/16/2021,Central,Confirmed,376,25,12
01/16/2021,Northern,Confirmed,651,27,12
01/16/2021,Southwest,Probable,148,1,7
01/16/2021,Eastern,Confirmed,669,38,6
01/16/2021,Northwest,Probable,153,5,4
01/16/2021,Northern,Probable,231,2,2
01/16/2021,Eastern,Probable,223,3,2
01/16/2021,Southwest,Confirmed,391,23,17
01/16/2021,Central,Probable,225,5,3
01/17/2021,Northwest,Probable,159,2,3
01/17/2021,Central,Probable,201,4,3
01/17/2021,Central,Confirmed,415,19,17
01/17/2021,Eastern,Confirmed,506,38,19
01/17/2021,Northern,Probable,211,4,4
01/17/2021,Northern,Confirmed,474,27,14
01/17/2021,Southwest,Confirmed,362,22,12
01/17/2021,Eastern,Probable,191,1,7
01/17/2021,Northwest,Confirmed,297,13,13
01/17/2021,Southwest,Probable,136,3,4
01/18/2021,Northern,Probable,225,1,1
01/18/2021,Central,Probable,293,2,5
01/18/2021,Northwest,Confirmed,472,12,4
01/18/2021,Eastern,Probable,316,1,5
01/18/2021,Eastern,Confirmed,799,38,11
01/18/2021,Northwest,Probable,193,2,4
01/18/2021,Southwest,Confirmed,592,19,16
01/18/2021,Central,Confirmed,702,16,16
01/18/2021,Northern,Confirmed,743,32,16
01/18/2021,Southwest,Probable,246,4,8
01/19/2021,Northern,Probable,215,3,4
01/19/2021,Central,Probable,259,2,5
01/19/2021,Southwest,Confirmed,510,11,11
01/19/2021,Central,Confirmed,630,16,17
01/19/2021,Northwest,Confirmed,518,13,8
01/19/2021,Southwest,Probable,200,4,9
01/19/2021,Northern,Confirmed,905,27,9
01/19/2021,Northwest,Probable,182,4,2
01/19/2021,Eastern,Confirmed,898,43,15
01/19/2021,Eastern,Probable,285,2,1
01/20/2021,Southwest,Confirmed,553,16,12
01/20/2021,Northern,Confirmed,716,22,8
01/20/2021,Northwest,Confirmed,468,16,17
01/20/2021,Eastern,Confirmed,833,41,14
01/20/2021,Central,Confirmed,581,14,12
01/20/2021,Central,Probable,265,2,1
01/20/2021,Eastern,Probable,308,2,4
01/20/2021,Southwest,Probable,196,1,5
01/20/2021,Northwest,Probable,205,2,6
01/20/2021,Northern,Probable,203,2,1
01/21/2021,Northwest,Confirmed,416,14,13
01/21/2021,Central,Probable,234,1,4
01/21/2021,Northern,Probable,211,3,0
01/21/2021,Eastern,Confirmed,715,35,11
01/21/2021,Eastern,Probable,270,0,2
01/21/2021,Southwest,Probable,218,3,11
01/21/2021,Northern,Confirmed,703,22,13
01/21/2021,Southwest,Confirmed,517,20,13
01/21/2021,Central,Confirmed,507,13,11
01/21/2021,Northwest,Probable,165,1,0
01/22/2021,Northwest,Confirmed,443,13,8
01/22/2021,Southwest,Probable,218,5,6
01/22/2021,Eastern,Probable,226,3,4
01/22/2021,Central,Confirmed,593,16,13
01/22/2021,Eastern,Confirmed,839,32,13
01/22/2021,Central,Probable,236,0,3
01/22/2021,Northwest,Probable,199,0,2
01/22/2021,Northern,Confirmed,655,11,11
01/22/2021,Northern,Probable,236,0,1
01/22/2021,Southwest,Confirmed,442,10,12
01/23/2021,Eastern,Confirmed,548,34,13
01/23/2021,Central,Confirmed,404,15,9
01/23/2021,Northern,Probable,168,0,2
01/23/2021,Southwest,Confirmed,312,18,10
01/23/2021,Central,Probable,209,2,1
01/23/2021,Northwest,Confirmed,319,7,10
01/23/2021,Northern,Confirmed,438,32,10
01/23/2021,Eastern,Probable,176,2,2
01/23/2021,Southwest,Probable,111,1,4
01/23/2021,Northwest,Probable,158,2,2
01/24/2021,Eastern,Probable,201,2,5
01/24/2021,Central,Confirmed,385,14,14
01/24/2021,Northern,Confirmed,405,28,13
01/24/2021,Eastern,Confirmed,491,34,10
01/24/2021,Southwest,Probable,128,2,7
01/24/2021,Northwest,Probable,124,2,7
01/24/2021,Northern,Probable,181,0,3
01/24/2021,Northwest,Confirmed,255,11,6
01/24/2021,Southwest,Confirmed,307,11,13
01/24/2021,Central,Probable,140,0,3
01/25/2021,Northwest,Confirmed,475,15,12
01/25/2021,Southwest,Probable,167,4,4
01/25/2021,Northern,Confirmed,655,35,6
01/25/2021,Central,Probable,296,1,4
01/25/2021,Northern,Probable,220,1,1
01/25/2021,Central,Confirmed,592,23,11
01/25/2021,Northwest,Probable,204,2,3
01/25/2021,Southwest,Confirmed,479,28,16
01/25/2021,Eastern,Confirmed,851,43,15
01/25/2021,Eastern,Probable,284,0,3
01/26/2021,Southwest,Confirmed,414,16,14
01/26/2021,Northwest,Probable,153,2,4
01/26/2021,Northern,Probable,182,1,1
01/26/2021,Southwest,Probable,184,3,4
01/26/2021,Northwest,Confirmed,415,10,6
01/26/2021,Eastern,Confirmed,679,33,16
01/26/2021,Eastern,Probable,242,5,1
01/26/2021,Central,Probable,207,2,2
01/26/2021,Northern,Confirmed,590,18,9
01/26/2021,Central,Confirmed,548,15,14
01/27/2021,Southwest,Confirmed,425,20,11
01/27/2021,Central,Probable,214,0,4
01/27/2021,Northwest,Probable,191,3,2
01/27/2021,Northern,Probable,191,0,3
01/27/2021,Central,Confirmed,508,16,17
01/27/2021,Eastern,Probable,233,1,2
01/27/2021,Northern,Confirmed,565,15,13
01/27/2021,Northwest,Confirmed,426,13,15
01/27/2021,Eastern,Confirmed,697,18,14
01/27/2021,Southwest,Probable,149,3,6
01/28/2021,Northwest,Confirmed,359,12,8
01/28/2021,Eastern,Confirmed,574,28,16
01/28/2021,Southwest,Probable,128,1,11
01/28/2021,Northern,Probable,192,0,2
01/28/2021,Southwest,Confirmed,317,7,11
01/28/2021,Northwest,Probable,192,2,4
01/28/2021,Northern,Confirmed,465,18,7
01/28/2021,Central,Confirmed,459,17,18
01/28/2021,Central,Probable,177,1,1
01/28/2021,Eastern,Probable,214,1,1
01/29/2021,Eastern,Confirmed,595,42,14
01/29/2021,Central,Confirmed,432,17,11
01/29/2021,Southwest,Confirmed,349,18,21
01/29/2021,Northern,Confirmed,484,21,7
01/29/2021,Southwest,Probable,148,0,8
01/29/2021,Northwest,Probable,136,0,2
01/29/2021,Central,Probable,180,0,2
01/29/2021,Eastern,Probable,216,2,1
01/29/2021,Northern,Probable,174,4,1
01/29/2021,Northwest,Confirmed,366,14,5
01/30/2021,Eastern,Confirmed,512,17,12
01/30/2021,Eastern,Probable,161,5,4
01/30/2021,Northwest,Probable,124,1,1
01/30/2021,Northwest,Confirmed,268,8,4
01/30/2021,Northern,Probable,166,1,0
01/30/2021,Southwest,Probable,130,5,7
01/30/2021,Central,Probable,147,1,4
01/30/2021,Northern,Confirmed,358,8,5
01/30/2021,Southwest,Confirmed,255,13,6
01/30/2021,Central,Confirmed,280,16,5
01/31/2021,Northern,Confirmed,322,8,10
01/31/2021,Central,Confirmed,255,16,16
01/31/2021,Central,Probable,130,2,3
01/31/2021,Northwest,Confirmed,181,9,9
01/31/2021,Northern,Probable,138,3,1
01/31/2021,Southwest,Probable,69,4,4
01/31/2021,Northwest,Probable,96,0,2
01/31/2021,Eastern,Confirmed,418,25,14
01/31/2021,Eastern,Probable,204,2,3
01/31/2021,Southwest,Confirmed,183,12,11
02/01/2021,Southwest,Probable,161,4,10
02/01/2021,Northern,Confirmed,466,9,3
02/01/2021,Central,Confirmed,479,29,16
02/01/2021,Eastern,Confirmed,689,32,12
02/01/2021,Eastern,Probable,289,1,0
02/01/2021,Southwest,Confirmed,413,15,8
02/01/2021,Central,Probable,217,0,4
02/01/2021,Northwest,Confirmed,321,24,5
02/01/2021,Northwest,Probable,232,0,2
02/01/2021,Northern,Probable,176,0,3
02/02/2021,Central,Confirmed,487,20,14
02/02/2021,Eastern,Probable,227,1,2
02/02/2021,Central,Probable,208,3,2
02/02/2021,Northern,Confirmed,531,26,11
02/02/2021,Northern,Probable,166,0,4
02/02/2021,Southwest,Probable,126,1,3
02/02/2021,Northwest,Probable,177,3,4
02/02/2021,Southwest,Confirmed,319,9,10
02/02/2021,Eastern,Confirmed,611,25,14
02/02/2021,Northwest,Confirmed,827,16,9
02/03/2021,Central,Probable,191,1,3
02/03/2021,Northern,Probable,169,0,3
02/03/2021,Northwest,Confirmed,326,13,8
02/03/2021,Southwest,Probable,138,3,5
02/03/2021,Northwest,Probable,156,0,1
02/03/2021,Eastern,Probable,212,3,2
02/03/2021,Southwest,Confirmed,336,15,12
02/03/2021,Central,Confirmed,426,16,12
02/03/2021,Eastern,Confirmed,563,32,14
02/03/2021,Northern,Confirmed,478,11,2
02/04/2021,Eastern,Probable,208,1,4
02/04/2021,Northern,Confirmed,403,9,7
02/04/2021,Central,Probable,168,1,5
02/04/2021,Northern,Probable,158,3,2
02/04/2021,Northwest,Confirmed,324,9,4
02/04/2021,Southwest,Probable,197,1,4
02/04/2021,Eastern,Confirmed,547,29,13
02/04/2021,Southwest,Confirmed,267,21,8
02/04/2021,Northwest,Probable,151,1,0
02/04/2021,Central,Confirmed,324,23,10
02/05/2021,Eastern,Confirmed,553,30,18
02/05/2021,Central,Probable,181,0,4
02/05/2021,Southwest,Confirmed,285,10,8
02/05/2021,Northwest,Probable,133,1,3
02/05/2021,Southwest,Probable,99,1,8
02/05/2021,Northern,Probable,124,1,1
02/05/2021,Eastern,Probable,241,1,3
02/05/2021,Central,Confirmed,353,16,12
02/05/2021,Northwest,Confirmed,308,14,3
02/05/2021,Northern,Confirmed,432,15,5
02/06/2021,Eastern,Probable,139,2,4
02/06/2021,Northwest,Confirmed,166,8,6
02/06/2021,Central,Confirmed,252,13,9
02/06/2021,Northern,Confirmed,356,8,10
02/06/2021,Southwest,Probable,73,2,7
02/06/2021,Northwest,Probable,95,2,0
02/06/2021,Eastern,Confirmed,391,30,20
02/06/2021,Central,Probable,87,3,1
02/06/2021,Northern,Probable,134,1,0
02/06/2021,Southwest,Confirmed,210,14,7
02/07/2021,Central,Probable,133,0,0
02/07/2021,Eastern,Probable,159,1,0
02/07/2021,Northern,Probable,142,0,1
02/07/2021,Eastern,Confirmed,335,24,11
02/07/2021,Southwest,Confirmed,176,16,9
02/07/2021,Southwest,Probable,47,3,3
02/07/2021,Northwest,Confirmed,168,8,6
02/07/2021,Northwest,Probable,99,4,2
02/07/2021,Northern,Confirmed,299,8,7
02/07/2021,Central,Confirmed,243,14,5
02/08/2021,Southwest,Confirmed,377,10,9
02/08/2021,Southwest,Probable,146,3,5
02/08/2021,Central,Probable,182,0,0
02/08/2021,Eastern,Probable,199,1,2
02/08/2021,Northern,Probable,172,1,4
02/08/2021,Central,Confirmed,394,26,6
02/08/2021,Northwest,Probable,136,0,1
02/08/2021,Northern,Confirmed,469,12,8
02/08/2021,Northwest,Confirmed,324,10,5
02/08/2021,Eastern,Confirmed,541,25,16
02/09/2021,Eastern,Confirmed,487,27,13
02/09/2021,Northwest,Confirmed,303,11,7
02/09/2021,Central,Probable,172,1,3
02/09/2021,Southwest,Probable,90,3,7
02/09/2021,Eastern,Probable,182,1,3
02/09/2021,Northern,Confirmed,386,10,6
02/09/2021,Central,Confirmed,355,20,18
02/09/2021,Northern,Probable,155,3,2
02/09/2021,Northwest,Probable,113,4,1
02/09/2021,Southwest,Confirmed,275,16,5
02/10/2021,Eastern,Confirmed,472,20,18
02/10/2021,Central,Confirmed,346,13,10
02/10/2021,Eastern,Probable,190,2,2
02/10/2021,Southwest,Probable,128,1,4
02/10/2021,Northern,Confirmed,398,8,4
02/10/2021,Northern,Probable,148,1,0
02/10/2021,Central,Probable,128,1,1
02/10/2021,Northwest,Probable,138,1,3
02/10/2021,Northwest,Confirmed,263,15,5
02/10/2021,Southwest,Confirmed,213,7,7
02/11/2021,Central,Probable,147,0,1
02/11/2021,Eastern,Probable,178,0,1
02/11/2021,Southwest,Confirmed,240,14,6
02/11/2021,Northern,Probable,145,1,0
02/11/2021,Northwest,Probable,167,0,2
02/11/2021,Eastern,Confirmed,467,24,9
02/11/2021,Northwest,Confirmed,272,13,5
02/11/2021,Northern,Confirmed,320,11,4
02/11/2021,Central,Confirmed,331,12,8
02/11/2021,Southwest,Probable,76,0,1
02/12/2021,Northwest,Probable,115,1,0
02/12/2021,Northern,Probable,123,0,1
02/12/2021,Central,Confirmed,226,12,9
02/12/2021,Southwest,Probable,86,4,1
02/12/2021,Northern,Confirmed,344,8,8
02/12/2021,Northwest,Confirmed,206,7,2
02/12/2021,Eastern,Confirmed,417,25,11
02/12/2021,Central,Probable,110,2,2
02/12/2021,Eastern,Probable,185,0,1
02/12/2021,Southwest,Confirmed,187,18,4
02/13/2021,Central,Confirmed,178,9,7
02/13/2021,Central,Probable,89,1,2
02/13/2021,Northwest,Confirmed,163,7,7
02/13/2021,Northern,Confirmed,259,10,12
02/13/2021,Northern,Probable,114,1,0
02/13/2021,Southwest,Probable,69,0,3
02/13/2021,Southwest,Confirmed,151,4,10
02/13/2021,Eastern,Confirmed,305,13,16
02/13/2021,Eastern,Probable,150,2,0
02/13/2021,Northwest,Probable,67,1,1
02/14/2021,Central,Confirmed,194,15,9
02/14/2021,Eastern,Confirmed,269,21,10
02/14/2021,Eastern,Probable,118,0,0
02/14/2021,Southwest,Probable,67,1,0
02/14/2021,Central,Probable,98,2,4
02/14/2021,Northwest,Probable,75,0,0
02/14/2021,Northern,Confirmed,270,4,7
02/14/2021,Northern,Probable,98,2,3
02/14/2021,Southwest,Confirmed,149,7,5
02/14/2021,Northwest,Confirmed,242,9,1
02/15/2021,Northern,Confirmed,333,15,3
02/15/2021,Northwest,Probable,88,0,1
02/15/2021,Southwest,Probable,70,2,2
02/15/2021,Northern,Probable,123,0,0
02/15/2021,Central,Confirmed,277,18,7
02/15/2021,Eastern,Confirmed,383,25,10
02/15/2021,Northwest,Confirmed,400,10,5
02/15/2021,Central,Probable,149,5,2
02/15/2021,Eastern,Probable,195,1,1
02/15/2021,Southwest,Confirmed,232,9,3
02/16/2021,Eastern,Probable,167,1,2
02/16/2021,Northwest,Probable,81,1,3
02/16/2021,Eastern,Confirmed,436,21,11
02/16/2021,Central,Confirmed,300,9,10
02/16/2021,Southwest,Probable,70,1,0
02/16/2021,Northern,Confirmed,321,7,10
02/16/2021,Northwest,Confirmed,332,10,8
02/16/2021,Central,Probable,113,1,1
02/16/2021,Southwest,Confirmed,230,7,10
02/16/2021,Northern,Probable,119,1,0
02/17/2021,Eastern,Confirmed,375,26,7
02/17/2021,Southwest,Probable,93,0,3
02/17/2021,Central,Confirmed,244,13,7
02/17/2021,Northern,Confirmed,348,10,2
02/17/2021,Northern,Probable,135,2,1
02/17/2021,Southwest,Confirmed,207,6,8
02/17/2021,Northwest,Confirmed,320,6,5
02/17/2021,Central,Probable,125,2,2
02/17/2021,Northwest,Probable,116,3,0
02/17/2021,Eastern,Probable,177,1,1
02/18/2021,Northern,Probable,88,1,0
02/18/2021,Northwest,Probable,58,0,0
02/18/2021,Eastern,Confirmed,292,19,12
02/18/2021,Southwest,Probable,54,1,3
02/18/2021,Central,Probable,100,3,0
02/18/2021,Central,Confirmed,202,10,7
02/18/2021,Eastern,Probable,143,2,1
02/18/2021,Northern,Confirmed,207,4,7
02/18/2021,Northwest,Confirmed,132,8,4
02/18/2021,Southwest,Confirmed,114,6,8
02/19/2021,Southwest,Probable,72,1,3
02/19/2021,Southwest,Confirmed,241,6,7
02/19/2021,Northern,Probable,102,2,0
02/19/2021,Northwest,Confirmed,198,9,4
02/19/2021,Eastern,Confirmed,465,16,9
02/19/2021,Central,Probable,87,1,1
02/19/2021,Northwest,Probable,121,1,1
02/19/2021,Central,Confirmed,185,16,7
02/19/2021,Eastern,Probable,152,2,2
02/19/2021,Northern,Confirmed,285,9,11
02/20/2021,Southwest,Probable,49,0,0
02/20/2021,Central,Probable,93,0,0
02/20/2021,Northern,Confirmed,212,5,2
02/20/2021,Central,Confirmed,198,19,4
