Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
03/19/2020,Central,Confirmed,40,2,0
03/19/2020,Northern,Confirmed,89,12,0
03/20/2020,Eastern,Confirmed,42,7,1
03/20/2020,Southwest,Confirmed,20,1,0
03/20/2020,Northern,Confirmed,97,5,0
03/20/2020,Central,Confirmed,53,6,0
03/20/2020,Northwest,Probable,1,0,0
03/20/2020,Northwest,Confirmed,19,1,0
03/21/2020,Northern,Confirmed,89,10,1
03/21/2020,Central,Confirmed,21,3,0
03/21/2020,Eastern,Confirmed,40,7,4
03/21/2020,Southwest,Confirmed,11,3,0
03/21/2020,Northwest,Confirmed,27,4,0
03/22/2020,Central,Confirmed,17,5,2
03/22/2020,Northwest,Confirmed,24,5,0
03/22/2020,Northern,Confirmed,108,9,0
03/22/2020,Eastern,Confirmed,25,8,1
03/22/2020,Southwest,Confirmed,4,0,0
03/23/2020,Southwest,Confirmed,11,1,0
03/23/2020,Northern,Confirmed,114,19,0
03/23/2020,Northern,Probable,1,0,0
03/23/2020,Eastern,Confirmed,56,6,0
03/23/2020,Central,Confirmed,53,16,1
03/23/2020,Northwest,Confirmed,30,4,0
03/24/2020,Northern,Confirmed,111,26,2
03/24/2020,Central,Confirmed,58,9,2
03/24/2020,Eastern,Confirmed,42,13,0
03/24/2020,Northwest,Confirmed,22,6,0
03/24/2020,Southwest,Confirmed,13,1,0
03/25/2020,Northwest,Confirmed,34,10,0
03/25/2020,Northern,Confirmed,109,18,1
03/25/2020,Eastern,Confirmed,48,17,1
03/25/2020,Central,Confirmed,58,15,0
03/25/2020,Southwest,Confirmed,7,1,1
03/25/2020,Central,Probable,0,0,1
03/26/2020,Central,Confirmed,69,13,3
03/26/2020,Eastern,Confirmed,39,10,0
03/26/2020,Southwest,Confirmed,14,4,0
03/26/2020,Northwest,Confirmed,31,5,0
03/26/2020,Northern,Confirmed,130,22,1
03/27/2020,Northwest,Confirmed,39,8,0
03/27/2020,Central,Confirmed,67,13,4
03/27/2020,Northern,Confirmed,126,22,3
03/27/2020,Central,Probable,0,0,2
03/27/2020,Eastern,Confirmed,35,15,2
03/27/2020,Southwest,Confirmed,19,3,0
03/28/2020,Northwest,Confirmed,29,10,1
03/28/2020,Southwest,Confirmed,10,4,2
03/28/2020,Northern,Confirmed,119,21,1
03/28/2020,Central,Confirmed,49,13,1
03/28/2020,Eastern,Confirmed,34,22,1
03/29/2020,Central,Probable,1,0,0
03/29/2020,Eastern,Confirmed,27,19,1
03/29/2020,Northern,Confirmed,95,26,4
03/29/2020,Central,Confirmed,44,17,2
03/29/2020,Northwest,Confirmed,21,6,1
03/29/2020,Southwest,Confirmed,15,6,0
03/30/2020,Eastern,Confirmed,51,16,2
03/30/2020,Southwest,Confirmed,18,5,0
03/30/2020,Northwest,Probable,1,0,0
03/30/2020,Northwest,Confirmed,39,7,0
03/30/2020,Northern,Probable,0,0,1
03/30/2020,Eastern,Probable,0,0,1
03/30/2020,Central,Confirmed,158,11,2
03/30/2020,Northern,Confirmed,178,34,2
03/31/2020,Eastern,Confirmed,50,12,1
03/31/2020,Central,Confirmed,81,14,5
03/31/2020,Southwest,Confirmed,13,4,0
03/31/2020,Northwest,Confirmed,36,5,1
03/31/2020,Northern,Confirmed,124,29,3
04/01/2020,Eastern,Confirmed,35,17,1
04/01/2020,Northwest,Probable,0,0,1
04/01/2020,Southwest,Confirmed,14,5,0
04/01/2020,Northwest,Confirmed,47,8,1
04/01/2020,Central,Confirmed,88,13,8
04/01/2020,Northern,Confirmed,182,26,0
04/02/2020,Central,Confirmed,56,15,8
04/02/2020,Northwest,Probable,1,0,0
04/02/2020,Central,Probable,0,1,0
04/02/2020,Northern,Confirmed,192,28,3
04/02/2020,Northwest,Confirmed,49,5,0
04/02/2020,Eastern,Confirmed,37,11,1
04/02/2020,Eastern,Probable,0,0,1
04/02/2020,Southwest,Confirmed,11,2,0
04/03/2020,Central,Confirmed,61,9,4
04/03/2020,Southwest,Confirmed,16,5,0
04/03/2020,Northwest,Confirmed,44,8,2
04/03/2020,Northern,Confirmed,188,31,5
04/03/2020,Eastern,Confirmed,41,16,0
04/04/2020,Northwest,Confirmed,40,9,0
04/04/2020,Eastern,Confirmed,34,8,0
04/04/2020,Southwest,Confirmed,17,3,1
04/04/2020,Northern,Confirmed,179,33,1
04/04/2020,Central,Confirmed,53,14,7
04/05/2020,Northwest,Confirmed,51,6,0
04/05/2020,Northwest,Probable,7,0,1
04/05/2020,Central,Confirmed,75,9,7
04/05/2020,Central,Probable,1,0,0
04/05/2020,Northern,Probable,17,0,0
04/05/2020,Eastern,Confirmed,21,8,3
04/05/2020,Northern,Confirmed,165,36,3
04/05/2020,Southwest,Confirmed,13,3,0
04/05/2020,Eastern,Probable,2,0,0
04/06/2020,Northern,Probable,23,0,1
04/06/2020,Central,Probable,5,0,0
04/06/2020,Northern,Confirmed,278,47,5
04/06/2020,Southwest,Confirmed,27,9,2
04/06/2020,Eastern,Confirmed,41,10,2
04/06/2020,Central,Confirmed,103,20,8
04/06/2020,Northwest,Confirmed,66,10,0
04/06/2020,Northwest,Probable,10,0,0
04/06/2020,Eastern,Probable,9,0,0
04/06/2020,Southwest,Probable,1,0,0
04/07/2020,Southwest,Confirmed,13,3,0
04/07/2020,Central,Confirmed,100,25,8
04/07/2020,Central,Probable,4,0,1
04/07/2020,Eastern,Confirmed,38,9,1
04/07/2020,Northern,Confirmed,243,29,6
